FacilityID,FacilityName,AddressStateCode,distance_miles
118995,PINECREST DAY USE AREA,California,67.51594999570882
232254,PINECREST,CA,67.67019327067908
10354715,Meadowview Campground,CA,67.80314854284221
232783,COVE GROUP,CA,67.9078129487274
234672,UPPER STONY CREEK CAMPGROUND,CA,67.91700398331105
232785,STONY CREEK SEQUOIA,CA,67.92855954141706
232784,FIR GROUP,CA,67.9373057074016
232077,ONION VALLEY,CA,69.01689098389224
232460,Dorst Creek Campground-Sequoia and Kings Canyon National Park,CA,70.07401293154282
232052,GRAYS MEADOWS,CA,70.7783919407977
232461,Lodgepole Campground-Sequoia and Kings Canyon National Park,CA,72.78802540986406
